Nodes,Edges,bfs-time in (ms),ffa-time in (s)
757,124174,21,12
758,124449,26,12
759,124937,22,11
760,125186,22,12
761,125538,25,13
762,126076,27,12
763,126146,29,13
764,126493,24,13
765,127197,26,14
766,127036,26,13
767,127551,22,14
768,127928,24,15
769,128255,22,14
770,128497,23,12
771,128928,27,14
772,129215,25,14
773,129647,43,16
774,129819,22,12
775,130179,23,14
776,130508,22,12
777,130893,22,14
778,131169,22,15
779,131798,25,16
780,131738,26,13
781,132531,28,16
782,132874,23,15
783,133048,23,20
784,133373,22,15
785,133608,25,17
786,133973,28,15
787,134443,27,15
788,134895,27,15
789,135065,28,17
790,135482,26,16
791,135919,26,17
792,136010,27,16
793,136926,26,14
794,136673,25,15
795,137300,23,16
796,138030,26,15
797,137763,29,16
798,138133,26,16
799,138716,26,23
800,138713,27,20
801,139500,26,17
802,139730,27,16
803,140124,25,43
804,140270,24,21
805,141035,23,22
806,141253,23,28
807,141615,25,19
808,142194,27,16
809,142148,26,17
810,142433,23,18
811,142649,27,16
812,143138,27,17
813,143789,26,28
814,144063,26,31
815,144449,27,29
816,144937,23,17
817,145055,26,16
818,145419,27,16
819,145826,28,16
820,146276,26,16
821,146473,27,14
822,147060,23,17
823,147108,26,15
824,147684,27,15
825,147859,26,17
826,148373,23,18
827,148830,27,18
828,148897,29,18
829,149426,39,17
830,149810,24,19
831,149850,29,20
832,150652,27,19
833,150990,27,18
834,151236,27,22
835,151693,28,18
836,152072,29,16
837,152486,23,17
838,152835,27,18
839,153062,28,17
840,153465,27,16
841,153742,27,17
842,154389,28,17
843,154683,27,20
844,154860,26,19
845,155175,28,21
846,155731,28,17
847,156203,27,19
848,156579,27,21
849,156783,27,24
850,157453,30,21
851,157683,27,19
852,158131,24,19
853,158375,28,21
854,158970,24,18
855,159245,28,17
856,159463,25,23
857,159956,28,29
858,160178,24,21
859,160784,29,23
860,161299,28,18
861,161228,24,24
862,161790,28,23
863,162228,28,19
864,162758,28,20
865,162804,28,21
866,163057,27,19
867,163488,24,20
868,163841,28,20
869,164553,28,18
870,164878,28,19
871,164980,28,22
872,165409,28,21
873,166235,28,20
874,166275,28,24
875,166943,28,21
876,167047,27,22
877,167844,28,23
878,167747,29,22
879,168279,29,24
880,168953,29,27
881,169332,29,23
882,169486,28,25
883,169825,29,23
884,170301,25,19
885,170850,28,25
886,170842,28,24
887,171254,28,20
888,171900,26,22
889,171832,34,20
890,172596,40,19
891,173120,32,21
892,173506,38,20
893,173705,32,21
894,174368,34,18
895,174442,31,22
896,175076,28,20
897,175220,29,20
898,175853,30,21
899,176180,29,18
900,176675,29,21
901,177115,30,20
902,177033,32,21
903,177902,29,22
904,178333,29,19
905,178818,30,21
906,179063,29,21
907,179348,30,20
908,179978,32,23
909,180652,33,21
910,180518,33,21
911,180877,32,21
912,181235,29,20
913,181788,31,19
914,182384,36,20
915,182523,30,21
916,183173,27,21
917,183155,31,20
918,184047,31,22
919,183950,31,21
920,184874,30,20
921,185140,29,23
922,185573,32,22
923,186022,29,20
924,186462,46,23
925,186657,31,22
926,186965,30,22
927,187768,35,23
